Trial Date & Time;Subject;Experiment Condition;Task;Step;Action Type;Total Time (s);#Visits;Note;Condition Code;Action Type Code; Task Name
8/08 04:43 pm;13;LG Tablet;2;10;title;;;;3;0;fuse (exterior)
8/06 02:22 pm;2;Epson Moverio;4;4;manipulate;;;SYSTEM CRASH;2;2;headlight
8/06 02:33 pm;2;Epson Moverio;4;4;manipulate;;;SYSTEM CRASH;2;2;headlight
8/06 02:06 pm;2;Google Glass;1;1;title;2,917;1;;1;0;engine oil
8/06 02:06 pm;2;Google Glass;1;2;locate;4,354;1;;1;1;engine oil
8/06 02:06 pm;2;Google Glass;1;3;manipulate;5,215;1;;1;2;engine oil
8/06 02:06 pm;2;Google Glass;1;4;manipulate;10,484;1;;1;2;engine oil
8/06 02:06 pm;2;Google Glass;1;5;manipulate;9,11;1;;1;2;engine oil
8/06 02:06 pm;2;Google Glass;1;6;manipulate;4,032;1;;1;2;engine oil
8/06 02:06 pm;2;Google Glass;1;7;compare;15,706;1;;1;3;engine oil
8/06 02:06 pm;2;Google Glass;1;8;manipulate;5,074;1;;1;2;engine oil
8/06 02:06 pm;2;Google Glass;1;9;title;4,653;1;;1;0;engine oil
8/06 02:06 pm;2;Google Glass;2;1;title;3,883;1;;1;0;fuse (exterior)
8/06 02:06 pm;2;Google Glass;2;2;locate;3,509;1;;1;1;fuse (exterior)
8/06 02:06 pm;2;Google Glass;2;3;manipulate;10,769;1;;1;2;fuse (exterior)
8/06 02:06 pm;2;Google Glass;2;4;manipulate;5,195;1;;1;2;fuse (exterior)
8/06 02:06 pm;2;Google Glass;2;5;locate;11,109;1;;1;1;fuse (exterior)
8/06 02:06 pm;2;Google Glass;2;6;manipulate;4,468;1;;1;2;fuse (exterior)
8/06 02:06 pm;2;Google Glass;2;7;compare;5,722;1;;1;3;fuse (exterior)
8/06 02:06 pm;2;Google Glass;2;8;manipulate;3,848;1;;1;2;fuse (exterior)
8/06 02:06 pm;2;Google Glass;2;9;manipulate;29,83;1;;1;2;fuse (exterior)
8/06 02:06 pm;2;Google Glass;2;10;title;;;;1;0;fuse (exterior)
8/06 02:39 pm;2;LG Tablet;7;1;title;3,336;1;;3;0;battery
8/06 02:39 pm;2;LG Tablet;7;2;locate;21,944;1;;3;1;battery
8/06 02:39 pm;2;LG Tablet;7;3;manipulate;6,229;1;;3;2;battery
8/06 02:39 pm;2;LG Tablet;7;4;manipulate;14,383;1;;3;2;battery
8/06 02:39 pm;2;LG Tablet;7;5;manipulate;10,745;1;;3;2;battery
8/06 02:39 pm;2;LG Tablet;7;6;compare;29,132;1;;3;3;battery
8/06 02:39 pm;2;LG Tablet;7;7;manipulate;6,599;1;;3;2;battery
8/06 02:39 pm;2;LG Tablet;7;8;manipulate;6,215;1;;3;2;battery
8/06 02:39 pm;2;LG Tablet;7;9;title;4,468;1;;3;0;battery
8/06 02:39 pm;2;LG Tablet;8;1;title;2,606;1;;3;0;fuse (interior)
8/06 02:39 pm;2;LG Tablet;8;2;locate;10,614;1;;3;1;fuse (interior)
8/06 02:39 pm;2;LG Tablet;8;3;manipulate;17,134;1;;3;2;fuse (interior)
8/06 02:39 pm;2;LG Tablet;8;4;locate;10,603;1;;3;1;fuse (interior)
8/06 02:39 pm;2;LG Tablet;8;5;manipulate;5,68;1;;3;2;fuse (interior)
8/06 02:39 pm;2;LG Tablet;8;6;compare;4,869;1;;3;3;fuse (interior)
8/06 02:39 pm;2;LG Tablet;8;7;manipulate;8,211;1;;3;2;fuse (interior)
8/06 02:39 pm;2;LG Tablet;8;8;manipulate;14,019;1;;3;2;fuse (interior)
8/06 02:39 pm;2;LG Tablet;8;9;title;;;;3;0;fuse (interior)
8/06 03:02 pm;3;Epson Moverio;1;1;title;;;Looks at all instructions in one go, ;2;0;engine oil
8/06 03:02 pm;3;Epson Moverio;1;2;locate;;;Looks at all instructions in one go, ;2;1;engine oil
8/06 03:02 pm;3;Epson Moverio;1;3;manipulate;;;Looks at all instructions in one go, ;2;2;engine oil
8/06 03:02 pm;3;Epson Moverio;1;4;manipulate;;;Looks at all instructions in one go, ;2;2;engine oil
8/06 03:02 pm;3;Epson Moverio;1;5;manipulate;;;Looks at all instructions in one go, ;2;2;engine oil
8/06 03:02 pm;3;Epson Moverio;1;6;manipulate;;;Looks at all instructions in one go, ;2;2;engine oil
8/06 03:02 pm;3;Epson Moverio;1;7;compare;;;Looks at all instructions in one go, ;2;3;engine oil
8/06 03:02 pm;3;Epson Moverio;1;8;manipulate;;;Looks at all instructions in one go, ;2;2;engine oil
8/06 03:02 pm;3;Epson Moverio;1;9;title;;;Looks at all instructions in one go, ;2;0;engine oil
8/06 03:02 pm;3;Epson Moverio;2;1;title;;;Looks at all instructions in one go, ;2;0;fuse (exterior)
8/06 03:02 pm;3;Epson Moverio;2;2;locate;;;Looks at all instructions in one go, ;2;1;fuse (exterior)
8/06 03:02 pm;3;Epson Moverio;2;3;manipulate;;;Looks at all instructions in one go, ;2;2;fuse (exterior)
8/06 03:02 pm;3;Epson Moverio;2;4;manipulate;;;Looks at all instructions in one go, ;2;2;fuse (exterior)
8/06 03:02 pm;3;Epson Moverio;2;5;locate;;;Looks at all instructions in one go, ;2;1;fuse (exterior)
8/06 03:02 pm;3;Epson Moverio;2;6;manipulate;;;Looks at all instructions in one go, ;2;2;fuse (exterior)
8/06 03:02 pm;3;Epson Moverio;2;7;compare;;;Looks at all instructions in one go, ;2;3;fuse (exterior)
8/06 03:02 pm;3;Epson Moverio;2;8;manipulate;;;Looks at all instructions in one go, ;2;2;fuse (exterior)
8/06 03:02 pm;3;Epson Moverio;2;9;manipulate;;;Looks at all instructions in one go, ;2;2;fuse (exterior)
8/06 03:02 pm;3;Epson Moverio;2;10;title;;;Looks at all instructions in one go, ;2;0;fuse (exterior)
8/06 03:23 pm;3;Epson Moverio;1;1;title;2,551;1;Looks at all instructions in one go, ;2;0;engine oil
8/06 03:23 pm;3;Epson Moverio;1;2;locate;3,275;1;Looks at all instructions in one go, ;2;1;engine oil
8/06 03:23 pm;3;Epson Moverio;1;3;manipulate;2,488;1;Looks at all instructions in one go, ;2;2;engine oil
8/06 03:23 pm;3;Epson Moverio;1;4;manipulate;13,93;1;Looks at all instructions in one go, ;2;2;engine oil
8/06 03:23 pm;3;Epson Moverio;1;5;manipulate;5,829;1;Looks at all instructions in one go, ;2;2;engine oil
8/06 03:23 pm;3;Epson Moverio;1;6;manipulate;3,332;1;Looks at all instructions in one go, ;2;2;engine oil
8/06 03:23 pm;3;Epson Moverio;1;7;compare;40,55;1;Looks at all instructions in one go, ;2;3;engine oil
8/06 03:23 pm;3;Epson Moverio;1;8;manipulate;3,177;1;Looks at all instructions in one go, ;2;2;engine oil
8/06 03:23 pm;3;Epson Moverio;1;9;title;5,599;1;Looks at all instructions in one go, ;2;0;engine oil
8/06 03:23 pm;3;Epson Moverio;2;1;title;3,848;1;Looks at all instructions in one go, ;2;0;fuse (exterior)
8/06 03:23 pm;3;Epson Moverio;2;2;locate;4,048;1;Looks at all instructions in one go, ;2;1;fuse (exterior)
8/06 03:23 pm;3;Epson Moverio;2;3;manipulate;4,222;1;Looks at all instructions in one go, ;2;2;fuse (exterior)
8/06 03:23 pm;3;Epson Moverio;2;4;manipulate;2,081;1;Looks at all instructions in one go, ;2;2;fuse (exterior)
8/06 03:23 pm;3;Epson Moverio;2;5;locate;41,215;1;Looks at all instructions in one go, ;2;1;fuse (exterior)
8/06 03:23 pm;3;Epson Moverio;2;6;manipulate;2,951;1;Looks at all instructions in one go, ;2;2;fuse (exterior)
8/06 03:23 pm;3;Epson Moverio;2;7;compare;11,298;1;Looks at all instructions in one go, ;2;3;fuse (exterior)
8/06 03:23 pm;3;Epson Moverio;2;8;manipulate;6,403;1;Looks at all instructions in one go, ;2;2;fuse (exterior)
8/06 03:23 pm;3;Epson Moverio;2;9;manipulate;43,371;1;Looks at all instructions in one go, ;2;2;fuse (exterior)
8/06 03:23 pm;3;Epson Moverio;2;10;title;;;Looks at all instructions in one go, ;2;0;fuse (exterior)
8/06 03:57 pm;3;Google Glass;7;1;title;3,139;1;Looks at all instructions in one go, ;1;0;battery
8/06 03:57 pm;3;Google Glass;7;2;locate;19,624;1;Looks at all instructions in one go, ;1;1;battery
8/06 03:57 pm;3;Google Glass;7;3;manipulate;6,0;1;Looks at all instructions in one go, ;1;2;battery
8/06 03:57 pm;3;Google Glass;7;4;manipulate;41,891;1;Looks at all instructions in one go, ;1;2;battery
8/06 03:57 pm;3;Google Glass;7;5;manipulate;18,408;2;Looks at all instructions in one go, ;1;2;battery
8/06 03:57 pm;3;Google Glass;7;6;compare;32,175;2;Looks at all instructions in one go, ;1;3;battery
8/06 03:57 pm;3;Google Glass;7;7;manipulate;3,843;1;Looks at all instructions in one go, ;1;2;battery
8/06 03:57 pm;3;Google Glass;7;8;manipulate;1,151;1;Looks at all instructions in one go, ;1;2;battery
8/06 03:57 pm;3;Google Glass;7;9;title;12,264;1;Looks at all instructions in one go, ;1;0;battery
8/06 03:57 pm;3;Google Glass;8;1;title;2,918;1;Looks at all instructions in one go, ;1;0;fuse (interior)
8/06 03:57 pm;3;Google Glass;8;2;locate;3,618;1;Looks at all instructions in one go, ;1;1;fuse (interior)
8/06 03:57 pm;3;Google Glass;8;3;manipulate;18,695;2;Looks at all instructions in one go, ;1;2;fuse (interior)
8/06 03:57 pm;3;Google Glass;8;4;locate;38,064;2;Looks at all instructions in one go, ;1;1;fuse (interior)
8/06 03:57 pm;3;Google Glass;8;5;manipulate;26,041;1;Looks at all instructions in one go, ;1;2;fuse (interior)
8/06 03:57 pm;3;Google Glass;8;6;compare;22,334;1;Looks at all instructions in one go, ;1;3;fuse (interior)
8/06 03:57 pm;3;Google Glass;8;7;manipulate;3,718;1;Looks at all instructions in one go, ;1;2;fuse (interior)
8/06 03:57 pm;3;Google Glass;8;8;manipulate;6,885;1;Looks at all instructions in one go, ;1;2;fuse (interior)
8/06 03:57 pm;3;Google Glass;8;9;title;;;Looks at all instructions in one go, ;1;0;fuse (interior)
8/06 03:47 pm;3;LG Tablet;5;1;title;2,741;1;Looks at all instructions in one go, ;3;0;brake fluid
8/06 03:47 pm;3;LG Tablet;5;2;locate;29,915;2;Looks at all instructions in one go, ;3;1;brake fluid
8/06 03:47 pm;3;LG Tablet;5;3;manipulate;5,876;3;Looks at all instructions in one go, ;3;2;brake fluid
8/06 03:47 pm;3;LG Tablet;5;4;locate;7,753;3;Looks at all instructions in one go, ;3;1;brake fluid
8/06 03:47 pm;3;LG Tablet;5;5;compare;73,993;2;Looks at all instructions in one go, ;3;3;brake fluid
8/06 03:47 pm;3;LG Tablet;5;6;manipulate;2,876;1;Looks at all instructions in one go, ;3;2;brake fluid
8/06 03:47 pm;3;LG Tablet;5;7;title;25,752;1;Looks at all instructions in one go, ;3;0;brake fluid
8/06 03:47 pm;3;LG Tablet;6;1;title;2,57;1;Looks at all instructions in one go, ;3;0;coolant
8/06 03:47 pm;3;LG Tablet;6;2;locate;4,554;1;Looks at all instructions in one go, ;3;1;coolant
8/06 03:47 pm;3;LG Tablet;6;3;locate;10,377;1;Looks at all instructions in one go, ;3;1;coolant
8/06 03:47 pm;3;LG Tablet;6;4;compare;5,102;1;Looks at all instructions in one go, ;3;3;coolant
8/06 03:47 pm;3;LG Tablet;6;5;manipulate;37,872;1;Looks at all instructions in one go, ;3;2;coolant
8/06 03:47 pm;3;LG Tablet;6;6;manipulate;2,251;1;Looks at all instructions in one go, ;3;2;coolant
8/06 03:47 pm;3;LG Tablet;6;7;title;;;Looks at all instructions in one go, ;3;0;coolant
8/06 05:07 pm;4;Epson Moverio;7;1;title;2,205;1;;2;0;battery
8/06 05:07 pm;4;Epson Moverio;7;2;locate;21,923;1;;2;1;battery
8/06 05:07 pm;4;Epson Moverio;7;3;manipulate;11,978;1;;2;2;battery
8/06 05:07 pm;4;Epson Moverio;7;4;manipulate;13,925;1;;2;2;battery
8/06 05:07 pm;4;Epson Moverio;7;5;manipulate;10,212;1;;2;2;battery
8/06 05:07 pm;4;Epson Moverio;7;6;compare;33,063;2;;2;3;battery
8/06 05:07 pm;4;Epson Moverio;7;7;manipulate;20,692;3;;2;2;battery
8/06 05:07 pm;4;Epson Moverio;7;8;manipulate;12,379;3;50 sec gap;2;2;battery
8/06 05:07 pm;4;Epson Moverio;7;9;title;3,264;3;;2;0;battery
8/06 05:07 pm;4;Epson Moverio;8;1;title;4,415;3;;2;0;fuse (interior)
8/06 05:07 pm;4;Epson Moverio;8;2;locate;16,01;3;;2;1;fuse (interior)
8/06 05:07 pm;4;Epson Moverio;8;3;manipulate;51,768;2;;2;2;fuse (interior)
8/06 05:07 pm;4;Epson Moverio;8;4;locate;21,996;1;;2;1;fuse (interior)
8/06 05:07 pm;4;Epson Moverio;8;5;manipulate;5,685;1;;2;2;fuse (interior)
8/06 05:07 pm;4;Epson Moverio;8;6;compare;5,188;1;;2;3;fuse (interior)
8/06 05:07 pm;4;Epson Moverio;8;7;manipulate;5,484;1;;2;2;fuse (interior)
8/06 05:07 pm;4;Epson Moverio;8;8;manipulate;9,15;1;;2;2;fuse (interior)
8/06 05:07 pm;4;Epson Moverio;8;9;title;;;;2;0;fuse (interior)
8/06 05:00 pm;4;Google Glass;5;1;title;4,029;1;;1;0;brake fluid
8/06 05:00 pm;4;Google Glass;5;2;locate;4,963;1;;1;1;brake fluid
8/06 05:00 pm;4;Google Glass;5;3;manipulate;12,44;1;;1;2;brake fluid
8/06 05:00 pm;4;Google Glass;5;4;locate;24,402;1;;1;1;brake fluid
8/06 05:00 pm;4;Google Glass;5;5;compare;9,283;1;;1;3;brake fluid
8/06 05:00 pm;4;Google Glass;5;6;manipulate;15,437;1;;1;2;brake fluid
8/06 05:00 pm;4;Google Glass;5;7;title;2,128;1;;1;0;brake fluid
8/06 05:00 pm;4;Google Glass;6;1;title;3,352;1;;1;0;coolant
8/06 05:00 pm;4;Google Glass;6;2;locate;5,79;1;;1;1;coolant
8/06 05:00 pm;4;Google Glass;6;3;locate;14,657;1;;1;1;coolant
8/06 05:00 pm;4;Google Glass;6;4;compare;4,446;1;;1;3;coolant
8/06 05:00 pm;4;Google Glass;6;5;manipulate;32,659;1;;1;2;coolant
8/06 05:00 pm;4;Google Glass;6;6;manipulate;13,414;1;;1;2;coolant
8/06 05:00 pm;4;Google Glass;6;7;title;;;;1;0;coolant
8/06 04:51 pm;4;LG Tablet;3;1;title;5,32;1;;3;0;air filter
8/06 04:51 pm;4;LG Tablet;3;2;locate;10,07;1;;3;1;air filter
8/06 04:51 pm;4;LG Tablet;3;3;manipulate;30,818;1;;3;2;air filter
8/06 04:51 pm;4;LG Tablet;3;4;manipulate;25,45;1;;3;2;air filter
8/06 04:51 pm;4;LG Tablet;3;5;compare;3,815;1;;3;3;air filter
8/06 04:51 pm;4;LG Tablet;3;6;manipulate;24,482;1;;3;2;air filter
8/06 04:51 pm;4;LG Tablet;3;7;manipulate;2,488;1;;3;2;air filter
8/06 04:51 pm;4;LG Tablet;3;8;title;10,752;1;;3;0;air filter
8/06 04:51 pm;4;LG Tablet;4;1;title;2,063;1;;3;0;headlight
8/06 04:51 pm;4;LG Tablet;4;2;locate;10,807;1;;3;1;headlight
8/06 04:51 pm;4;LG Tablet;4;3;manipulate;8,62;1;;3;2;headlight
8/06 04:51 pm;4;LG Tablet;4;4;manipulate;3,13;1;;3;2;headlight
8/06 04:51 pm;4;LG Tablet;4;5;manipulate;8,929;1;;3;2;headlight
8/06 04:51 pm;4;LG Tablet;4;6;compare;5,103;1;;3;3;headlight
8/06 04:51 pm;4;LG Tablet;4;7;manipulate;5,498;1;;3;2;headlight
8/06 04:51 pm;4;LG Tablet;4;8;manipulate;21,929;1;;3;2;headlight
8/06 04:51 pm;4;LG Tablet;4;9;title;;;;3;0;headlight
8/07 10:45 am;5;Epson Moverio;5;1;title;2,684;1;;2;0;brake fluid
8/07 10:45 am;5;Epson Moverio;5;2;locate;9,545;1;;2;1;brake fluid
8/07 10:45 am;5;Epson Moverio;5;3;manipulate;12,295;1;;2;2;brake fluid
8/07 10:45 am;5;Epson Moverio;5;4;locate;21,731;1;;2;1;brake fluid
8/07 10:45 am;5;Epson Moverio;5;5;compare;15,569;1;;2;3;brake fluid
8/07 10:45 am;5;Epson Moverio;5;6;manipulate;7,284;1;;2;2;brake fluid
8/07 10:45 am;5;Epson Moverio;5;7;title;1,666;1;;2;0;brake fluid
8/07 10:45 am;5;Epson Moverio;6;1;title;2,979;1;;2;0;coolant
8/07 10:45 am;5;Epson Moverio;6;2;locate;9,509;2;;2;1;coolant
8/07 10:45 am;5;Epson Moverio;6;3;locate;7,606;3;;2;1;coolant
8/07 10:45 am;5;Epson Moverio;6;4;compare;5,49;3;;2;3;coolant
8/07 10:45 am;5;Epson Moverio;6;5;manipulate;29,207;2;;2;2;coolant
8/07 10:45 am;5;Epson Moverio;6;6;manipulate;13,444;1;;2;2;coolant
8/07 10:45 am;5;Epson Moverio;6;7;title;;;;2;0;coolant
8/07 10:37 am;5;Google Glass;3;1;title;3,604;1;;1;0;air filter
8/07 10:37 am;5;Google Glass;3;2;locate;9,159;1;;1;1;air filter
8/07 10:37 am;5;Google Glass;3;3;manipulate;28,134;1;;1;2;air filter
8/07 10:37 am;5;Google Glass;3;4;manipulate;15,88;1;;1;2;air filter
8/07 10:37 am;5;Google Glass;3;5;compare;8,637;1;;1;3;air filter
8/07 10:37 am;5;Google Glass;3;6;manipulate;13,139;1;;1;2;air filter
8/07 10:37 am;5;Google Glass;3;7;manipulate;4,458;1;;1;2;air filter
8/07 10:37 am;5;Google Glass;3;8;title;13,496;1;;1;0;air filter
8/07 10:37 am;5;Google Glass;4;1;title;2,275;1;;1;0;headlight
8/07 10:37 am;5;Google Glass;4;2;locate;11,261;1;;1;1;headlight
8/07 10:37 am;5;Google Glass;4;3;manipulate;6,639;1;;1;2;headlight
8/07 10:37 am;5;Google Glass;4;4;manipulate;11,201;2;;1;2;headlight
